channel_index,channel_name,mean,std,p50,p95,p99
0,Fx,0.0,0.9999996610712956,0.7256803861631176,0.7868661004890196,0.9313209037955819
1,Fy,0.0,0.9999990096831102,0.3514710362477825,1.1825654754197443,1.8330455007596786
2,Fz,0.0,0.9999999407874273,0.7925086571480076,0.867276552161099,0.8709753539491674
3,Mx,0.0,0.9999998806391951,-0.729710604309783,1.7085856506424506,2.4019817552692477
4,My,0.0,0.9999998069965613,0.18890032915600766,1.3135128531394893,2.2162644049151248
5,Mz,0.0,0.9999993986152191,0.5578590694014163,0.7460434749657187,1.408802267277
